연번,시군구,중개업소구분,중개업자명,중개업소명,사무소주소,위도,경도,데이터기준일자
47,중구,공인중개사,권태근,부산 공인중개사 사무소,"부산광역시 중구 광복로 40-2, 4층",35.09916385,129.0294767,2022-01-14
48,중구,공인중개사,최배길,경보이리스오션부동산공인중개사사무소,"부산광역시 중구 대교로 141, 1층 101호(중앙동5가, 외3필지)",35.10259493,129.0372527,2022-01-14
49,중구,공인중개사,이훈,남포동 공인중개사사무소,"부산광역시 중구 자갈치로 33, 신천지시장 2층 47, 48호",35.09704163,129.0278158,2022-01-14
50,중구,공인중개사,정수영,우진 공인중개사사무소,"부산광역시 중구 흑교로 51, 1층",35.10398144,129.0247441,2022-01-14
51,중구,공인중개사,이지백,대교공인중개사사무소,"부산광역시 중구 구덕로48번길 2, 3층 (남포동4가)",35.09847733,129.0307075,2022-01-14
52,중구,공인중개사,이명자,일신공인중개사사무소,부산광역시 중구 흑교로 92-1(보수동1가),35.10729721,129.0227783,2022-01-14
53,중구,공인중개사,윤만순,황금공인중개사사무소,"부산광역시 중구 흑교로 23, 1층",35.10151873,129.0249655,2022-01-14
54,중구,공인중개사,한선혜,광복비전공인중개사사무소,"부산광역시 중구 광복로 39, 2층(창선동2가)",35.09944465,129.0293158,2022-01-14
55,중구,공인중개사,김풍순,태산공인중개사사무소,"부산광역시 중구 보수대로 96, 1층",35.10436977,129.0214584,2022-01-14
56,중구,공인중개사,김철호,부평김철호공인중개사사무소,부산광역시 중구 대청로 35-1(보수동3가),35.10333137,129.0238036,2022-01-14
57,중구,공인중개사,양승호,복(福) 공인중개사사무소,"부산광역시 중구 대청로 95-1, 3층",35.10304985,129.0304251,2022-01-14
58,중구,공인중개사,최낙민,삼호공인중개사사무소,부산광역시 중구 흑교로 53-1(보수동2가),35.10423548,129.0245498,2022-01-14
59,중구,공인중개사,홍석식,부동산프라자공인중개사사무소,"부산광역시 중구 흑교로35번길 8, 2층(부평동3가)",35.10277555,129.0245096,2022-01-14
60,중구,공인중개사,주종문,제일부동산중개,부산광역시 중구 동광길 82(중앙동4가),35.10631806,129.0351061,2022-01-14
61,중구,공인중개사,박광국,우리부동산중개사무소,"부산광역시 중구 흑교로 27, 2층(부평동3가)",35.10198723,129.0249933,2022-01-14
62,중구,공인중개사,허규삼,신일부동산중개,"부산광역시 중구 광복로 77-1, 4층 (광복동2가)",35.09866144,129.0334298,2022-01-14
63,중구,공인중개사,최광동,디딤돌부동산중개,부산광역시 중구 흑교로 16,35.10078598,129.0252744,2022-01-14
64,중구,공인중개사,성기재,삼성 공인중개사사무소,"부산광역시 중구 흑교로 18, 2층(부평동2가)",35.10113721,129.0253117,2022-01-14
65,중구,공인중개사,우경원,가람공인중개사사무소,"부산광역시 중구 중구로 72, 1층",35.10381861,129.0290637,2022-01-14
66,중구,공인중개사,김성욱,공간공인중개사사무소,"부산광역시 중구 광복로 3-1, 3층",35.09963872,129.0255671,2022-01-14
67,중구,공인중개사,김정석,동아공인중개사사무소,"부산광역시 중구 영주로 62-1, 2층",35.11278610,129.0302955,2022-01-14
68,중구,공인중개사,하종필,하이공인중개사사무소,"부산광역시 중구 대영로 240, 101호",35.11174777,129.0368313,2022-01-14
69,중구,공인중개사,이향숙,위너스부동산공인중개사사무소,부산광역시 중구 대청로 81-1,35.10308967,129.0289229,2022-01-14
70,중구,공인중개사,송경석,이송공인중개사사무소,부산광역시 중구 광복중앙로 27,35.10178634,129.0306066,2022-01-14
71,중구,공인중개사,하성기,해성공인중개사사무소,부산광역시 중구 흑교로46번길 6,35.10349548,129.0257142,2022-01-14
72,중구,공인중개사,이미화,동광공인중개사사무소,부산광역시 중구 해관로 3,35.09917419,129.0356628,2022-01-14
73,중구,공인중개사,박중섭,대복부동산중개,"부산광역시 중구 광복로 16-1, 3층(부평동1가)",35.09929473,129.0268022,2022-01-14
74,중구,공인중개사,정흠수,동아부동산공인중개사사무소,"부산광역시 중구 해관로 64, 201호(중앙동4가,원빌딩)",35.10453715,129.0357088,2022-01-14
75,중구,공인중개사,김상훈,신신공인중개사사무소,부산광역시 중구 구덕로 80,35.09775971,129.0271120,2022-01-14
76,중구,공인중개사,박영재,베스트메디칼컨설팅공인중개사사무소,부산광역시 중구 충장대로5번길 48(중앙동4가),35.10934907,129.0379966,2022-01-14
77,중구,공인중개사,임지연,리오(RHEA)부동산중개사무소,"부산광역시 중구 해관로 17-1, 201호",35.10044531,129.0356460,2022-01-14
78,중구,공인중개사,조영빈,월드공인중개사사무소,"부산광역시 중구 광복로 38, 3층 2호",35.09911275,129.0291251,2022-01-14
79,중구,공인중개사,한솔,한솔공인중개사사무소,부산광역시 중구 대영로 221-1(영주동),35.11233127,129.0350068,2022-01-14
80,중구,공인중개사,김복숙,남포공인중개사사무소,부산광역시 중구 남포길 4(남포동3가),35.09883270,129.0291984,2022-01-14
81,중구,공인중개사,김현혜,코모도에스테이트부동산중개,"부산광역시 중구 대청로 121-1, 101호 (대청동1가)",35.10320936,129.0328621,2022-01-14
82,중구,공인중개사,장윤정,대경부동산공인중개사사무소,"부산광역시 중구 흑교로 17, 1층 (부평동3가)",35.10109521,129.0249492,2022-01-14
83,중구,공인중개사,이선주,블루공인중개사사무소,"부산광역시 중구 영주로 91, 210호 (영주동, 카멜롯 블루)",35.11468285,129.0319649,2022-01-14
84,중구,공인중개사,이재관,제이케이부동산중개,"부산광역시 중구 구덕로 38, 4층",35.09826078,129.0317906,2022-01-14
85,중구,공인중개사,유동현,행복공인중개사사무소,"부산광역시 중구 대청로 72, 3층 (부평동1가)",35.10283825,129.0277461,2022-01-14
86,중구,공인중개사,이창준,천지부동산공인중개사사무소,"부산광역시 중구 고가길 32, 307호 (보수동1가)",35.10363699,129.0270980,2022-01-14
87,중구,공인중개사,최성훈,골드공인중개사사무소,"부산광역시 중구 중구로 25, 2층",35.10005349,129.0276782,2022-01-14
88,중구,공인중개사,배재현,월드밸리공인중개사사무소,"부산광역시 중구 대청로 60, 902호(월드밸리)",35.10280491,129.0263637,2022-01-14
89,중구,공인중개사,조명래,세종공인중개사사무소,"부산광역시 중구 중구로33번길 45, 2층",35.10089256,129.0254622,2022-01-14
90,중구,공인중개사,최우헌,고려부동산공인중개사사무소,"부산광역시 중구 구덕로 66, 3층",35.09806223,129.0286403,2022-01-14
91,중구,공인중개사,신상건,청솔공인중개사사무소,"부산광역시 중구 보수대로118번길 58, 2층",35.10412824,129.0233749,2022-01-14
92,중구,공인중개사,정명화,자갈치부동산중개사무소,"부산광역시 중구 자갈치로47번길 3, 2층",35.09738038,129.0293227,2022-01-14
